p1,p2,p3,SIZE,SIZE^3,非重複数,重複要素数,重複率,非重複数（mod S^3 * 3）,重複数（mod S^3 *3）,重複率（mod S^3 * 3）
7,503,991,100,1000000,143382,856618,85.6618,143382,856618,85.6618
7,503,997,100,1000000,144282,855718,85.5718,144282,855718,85.5718
7,503,1009,100,1000000,145330,854670,85.467,145330,854670,85.467
7,503,1511,100,1000000,192874,807126,80.7126,192874,807126,80.7126
7,503,1999,100,1000000,237172,762828,76.2828,237172,762828,76.2828
7,503,2003,100,1000000,239160,760840,76.084,239160,760840,76.084
7,503,2503,100,1000000,286546,713454,71.3454,286546,713454,71.3454
7,503,3001,100,1000000,332200,667800,66.78,332200,667800,66.78
7,503,4001,100,1000000,427374,572626,57.2626,427374,572626,57.2626
7,503,5003,100,1000000,517612,482388,48.2388,517612,482388,48.2388
7,503,6007,100,1000000,614586,385414,38.5414,614586,385414,38.5414
7,503,7001,100,1000000,696184,303816,30.3816,696184,303816,30.3816
7,503,8009,100,1000000,776658,223342,22.3342,776658,223342,22.3342
7,503,9001,100,1000000,850768,149232,14.9232,850768,149232,14.9232
7,503,10007,100,1000000,918564,81436,8.1436,908518,91482,9.1482
7,601,11,100,1000000,61222,938778,93.8778,61222,938778,93.8778
7,601,13,100,1000000,61408,938592,93.8592,61408,938592,93.8592
7,601,101,100,1000000,69588,930412,93.0412,69588,930412,93.0412
7,601,199,100,1000000,77818,922182,92.2182,77818,922182,92.2182
7,601,211,100,1000000,79852,920148,92.0148,79852,920148,92.0148
7,601,307,100,1000000,87520,912480,91.248,87520,912480,91.248
7,601,401,100,1000000,97578,902422,90.2422,97578,902422,90.2422
7,601,503,100,1000000,94972,905028,90.5028,94972,905028,90.5028
7,601,701,100,1000000,124786,875214,87.5214,124786,875214,87.5214
7,601,809,100,1000000,134746,865254,86.5254,134746,865254,86.5254
7,601,907,100,1000000,144864,855136,85.5136,144864,855136,85.5136
7,601,991,100,1000000,152366,847634,84.7634,152366,847634,84.7634
7,601,997,100,1000000,96930,903070,90.307,96930,903070,90.307
7,601,1009,100,1000000,154444,845556,84.5556,154444,845556,84.5556
7,601,1511,100,1000000,201094,798906,79.8906,201094,798906,79.8906
7,601,1999,100,1000000,226090,773910,77.391,226090,773910,77.391
7,601,2003,100,1000000,247210,752790,75.279,247210,752790,75.279
7,601,2503,100,1000000,295354,704646,70.4646,295354,704646,70.4646
7,601,3001,100,1000000,340724,659276,65.9276,340724,659276,65.9276
7,601,4001,100,1000000,377602,622398,62.2398,377602,622398,62.2398
7,601,5003,100,1000000,515326,484674,48.4674,515326,484674,48.4674
7,601,6007,100,1000000,621400,378600,37.86,621400,378600,37.86
7,601,7001,100,1000000,671160,328840,32.884,671160,328840,32.884
7,601,8009,100,1000000,379864,620136,62.0136,379864,620136,62.0136
7,601,9001,100,1000000,175330,824670,82.467,175330,824670,82.467
7,601,10007,100,1000000,424810,575190,57.519,424810,575190,57.519
7,701,11,100,1000000,71122,928878,92.8878,71122,928878,92.8878
7,701,13,100,1000000,71308,928692,92.8692,71308,928692,92.8692
7,701,101,100,1000000,79482,920518,92.0518,79482,920518,92.0518
7,701,199,100,1000000,88282,911718,91.1718,88282,911718,91.1718
7,701,211,100,1000000,89418,910582,91.0582,89418,910582,91.0582
7,701,307,100,1000000,97690,902310,90.231,97690,902310,90.231
7,701,401,100,1000000,106128,893872,89.3872,106128,893872,89.3872
7,701,503,100,1000000,112746,887254,88.7254,112746,887254,88.7254
7,701,601,100,1000000,124786,875214,87.5214,124786,875214,87.5214
7,701,809,100,1000000,143766,856234,85.6234,143766,856234,85.6234
7,701,907,100,1000000,153478,846522,84.6522,153478,846522,84.6522
7,701,991,100,1000000,161536,838464,83.8464,161536,838464,83.8464
7,701,997,100,1000000,161954,838046,83.8046,161954,838046,83.8046
7,701,1009,100,1000000,156964,843036,84.3036,156964,843036,84.3036
7,701,1511,100,1000000,208254,791746,79.1746,208254,791746,79.1746
7,701,1999,100,1000000,253284,746716,74.6716,253284,746716,74.6716
7,701,2003,100,1000000,252756,747244,74.7244,252756,747244,74.7244
7,701,2503,100,1000000,286096,713904,71.3904,286096,713904,71.3904
7,701,3001,100,1000000,343236,656764,65.6764,343236,656764,65.6764
7,701,4001,100,1000000,386464,613536,61.3536,386464,613536,61.3536
7,701,5003,100,1000000,527272,472728,47.2728,527272,472728,47.2728
7,701,6007,100,1000000,596786,403214,40.3214,596786,403214,40.3214
7,701,7001,100,1000000,716830,283170,28.317,716830,283170,28.317
7,701,8009,100,1000000,358590,641410,64.141,358590,641410,64.141
7,701,9001,100,1000000,276508,723492,72.3492,276508,723492,72.3492
7,701,10007,100,1000000,617310,382690,38.269,617212,382788,38.2788
7,809,11,100,1000000,81814,918186,91.8186,81814,918186,91.8186
7,809,13,100,1000000,82000,918000,91.8,82000,918000,91.8
7,809,101,100,1000000,90172,909828,90.9828,90172,909828,90.9828
7,809,199,100,1000000,98968,901032,90.1032,98968,901032,90.1032
7,809,211,100,1000000,91664,908336,90.8336,91664,908336,90.8336
7,809,307,100,1000000,103582,896418,89.6418,103582,896418,89.6418
7,809,401,100,1000000,39502,960498,96.0498,39502,960498,96.0498
7,809,503,100,1000000,127122,872878,87.2878,127122,872878,87.2878
7,809,601,100,1000000,134746,865254,86.5254,134746,865254,86.5254
7,809,701,100,1000000,143766,856234,85.6234,143766,856234,85.6234
7,809,907,100,1000000,129112,870888,87.0888,129112,870888,87.0888
7,809,991,100,1000000,153998,846002,84.6002,153998,846002,84.6002
7,809,997,100,1000000,166786,833214,83.3214,166786,833214,83.3214
7,809,1009,100,1000000,172758,827242,82.7242,172758,827242,82.7242
7,809,1511,100,1000000,218436,781564,78.1564,218436,781564,78.1564
7,809,1999,100,1000000,260566,739434,73.9434,260566,739434,73.9434
7,809,2003,100,1000000,254526,745474,74.5474,254526,745474,74.5474
7,809,2503,100,1000000,308872,691128,69.1128,308872,691128,69.1128
7,809,3001,100,1000000,352462,647538,64.7538,352462,647538,64.7538
7,809,4001,100,1000000,447252,552748,55.2748,447252,552748,55.2748
7,809,5003,100,1000000,531966,468034,46.8034,531966,468034,46.8034
7,809,6007,100,1000000,629908,370092,37.0092,629908,370092,37.0092
7,809,7001,100,1000000,459460,540540,54.054,459460,540540,54.054
7,809,8009,100,1000000,798226,201774,20.1774,798226,201774,20.1774
7,809,9001,100,1000000,899812,100188,10.0188,899812,100188,10.0188
7,809,10007,100,1000000,983850,16150,1.615,964740,35260,3.526
7,907,11,100,1000000,91516,908484,90.8484,91516,908484,90.8484
7,907,13,100,1000000,91702,908298,90.8298,91702,908298,90.8298
7,907,101,100,1000000,99874,900126,90.0126,99874,900126,90.0126
7,907,199,100,1000000,108298,891702,89.1702,108298,891702,89.1702
7,907,211,100,1000000,104188,895812,89.5812,104188,895812,89.5812
7,907,307,100,1000000,58906,941094,94.1094,58906,941094,94.1094
7,907,401,100,1000000,115102,884898,88.4898,115102,884898,88.4898
7,907,503,100,1000000,135984,864016,86.4016,135984,864016,86.4016
7,907,601,100,1000000,144864,855136,85.5136,144864,855136,85.5136
7,907,701,100,1000000,153478,846522,84.6522,153478,846522,84.6522
7,907,809,100,1000000,129112,870888,87.0888,129112,870888,87.0888
7,907,991,100,1000000,128080,871920,87.192,128080,871920,87.192
7,907,997,100,1000000,180892,819108,81.9108,180892,819108,81.9108
7,907,1009,100,1000000,181546,818454,81.8454,181546,818454,81.8454
7,907,1511,100,1000000,216694,783306,78.3306,216694,783306,78.3306
7,907,1999,100,1000000,267070,732930,73.293,267070,732930,73.293
7,907,2003,100,1000000,233488,766512,76.6512,233488,766512,76.6512
7,907,2503,100,1000000,188320,811680,81.168,188320,811680,81.168
7,907,3001,100,1000000,330868,669132,66.9132,330868,669132,66.9132
7,907,4001,100,1000000,313314,686686,68.6686,313314,686686,68.6686
7,907,5003,100,1000000,536676,463324,46.3324,536676,463324,46.3324
7,907,6007,100,1000000,355920,644080,64.408,355920,644080,64.408
7,907,7001,100,1000000,721618,278382,27.8382,721618,278382,27.8382
7,907,8009,100,1000000,297298,702702,70.2702,297298,702702,70.2702
7,907,9001,100,1000000,907300,92700,9.27,907300,92700,9.27
7,907,10007,100,1000000,850270,149730,14.973,834170,165830,16.583
7,991,11,100,1000000,99832,900168,90.0168,99832,900168,90.0168
7,991,13,100,1000000,100018,899982,89.9982,100018,899982,89.9982
7,991,101,100,1000000,108190,891810,89.181,108190,891810,89.181
7,991,199,100,1000000,116038,883962,88.3962,116038,883962,88.3962
7,991,211,100,1000000,115624,884376,88.4376,115624,884376,88.4376
7,991,307,100,1000000,113878,886122,88.6122,113878,886122,88.6122
7,991,401,100,1000000,128782,871218,87.1218,128782,871218,87.1218
7,991,503,100,1000000,143382,856618,85.6618,143382,856618,85.6618
7,991,601,100,1000000,152366,847634,84.7634,152366,847634,84.7634
7,991,701,100,1000000,161536,838464,83.8464,161536,838464,83.8464
7,991,809,100,1000000,153998,846002,84.6002,153998,846002,84.6002
7,991,907,100,1000000,128080,871920,87.192,128080,871920,87.192
7,991,997,100,1000000,175306,824694,82.4694,175306,824694,82.4694
7,991,1009,100,1000000,185782,814218,81.4218,185782,814218,81.4218
7,991,1511,100,1000000,115942,884058,88.4058,115942,884058,88.4058
7,991,1999,100,1000000,270276,729724,72.9724,270276,729724,72.9724
7,991,2003,100,1000000,58906,941094,94.1094,58906,941094,94.1094
7,991,2503,100,1000000,322676,677324,67.7324,322676,677324,67.7324
7,991,3001,100,1000000,78112,921888,92.1888,78112,921888,92.1888
7,991,4001,100,1000000,452614,547386,54.7386,452614,547386,54.7386
7,991,5003,100,1000000,542188,457812,45.7812,542188,457812,45.7812
7,991,6007,100,1000000,636340,363660,36.366,636340,363660,36.366
7,991,7001,100,1000000,713730,286270,28.627,713730,286270,28.627
7,991,8009,100,1000000,758032,241968,24.1968,758032,241968,24.1968
7,991,9001,100,1000000,850852,149148,14.9148,850852,149148,14.9148
7,991,10007,100,1000000,991630,8370,0.837,970528,29472,2.9472
7,997,11,100,1000000,100426,899574,89.9574,100426,899574,89.9574
7,997,13,100,1000000,100612,899388,89.9388,100612,899388,89.9388
7,997,101,100,1000000,108780,891220,89.122,108780,891220,89.122
7,997,199,100,1000000,117488,882512,88.2512,117488,882512,88.2512
7,997,211,100,1000000,117964,882036,88.2036,117964,882036,88.2036
7,997,307,100,1000000,124804,875196,87.5196,124804,875196,87.5196
7,997,401,100,1000000,135178,864822,86.4822,135178,864822,86.4822
7,997,503,100,1000000,144282,855718,85.5718,144282,855718,85.5718
7,997,601,100,1000000,96930,903070,90.307,96930,903070,90.307
7,997,701,100,1000000,161954,838046,83.8046,161954,838046,83.8046
7,997,809,100,1000000,166786,833214,83.3214,166786,833214,83.3214
7,997,907,100,1000000,180892,819108,81.9108,180892,819108,81.9108
7,997,991,100,1000000,175306,824694,82.4694,175306,824694,82.4694
7,997,1009,100,1000000,183700,816300,81.63,183700,816300,81.63
7,997,1511,100,1000000,230452,769548,76.9548,230452,769548,76.9548
7,997,1999,100,1000000,240190,759810,75.981,240190,759810,75.981
7,997,2003,100,1000000,261922,738078,73.8078,261922,738078,73.8078
7,997,2503,100,1000000,96930,903070,90.307,96930,903070,90.307
7,997,3001,100,1000000,338770,661230,66.123,338770,661230,66.123
7,997,4001,100,1000000,417448,582552,58.2552,417448,582552,58.2552
7,997,5003,100,1000000,504310,495690,49.569,504310,495690,49.569
7,997,6007,100,1000000,588142,411858,41.1858,588142,411858,41.1858
7,997,7001,100,1000000,630046,369954,36.9954,630046,369954,36.9954
7,997,8009,100,1000000,725836,274164,27.4164,725836,274164,27.4164
7,997,9001,100,1000000,135136,864864,86.4864,135136,864864,86.4864
7,997,10007,100,1000000,824230,175770,17.577,808296,191704,19.1704
7,1009,11,100,1000000,101614,898386,89.8386,101614,898386,89.8386
7,1009,13,100,1000000,101800,898200,89.82,101800,898200,89.82
7,1009,101,100,1000000,109974,890026,89.0026,109974,890026,89.0026
7,1009,199,100,1000000,78310,921690,92.169,78310,921690,92.169
7,1009,211,100,1000000,119768,880232,88.0232,119768,880232,88.0232
7,1009,307,100,1000000,128120,871880,87.188,128120,871880,87.188
7,1009,401,100,1000000,136546,863454,86.3454,136546,863454,86.3454
7,1009,503,100,1000000,145330,854670,85.467,145330,854670,85.467
7,1009,601,100,1000000,154444,845556,84.5556,154444,845556,84.5556
7,1009,701,100,1000000,156964,843036,84.3036,156964,843036,84.3036
7,1009,809,100,1000000,172758,827242,82.7242,172758,827242,82.7242
7,1009,907,100,1000000,181546,818454,81.8454,181546,818454,81.8454
7,1009,991,100,1000000,185782,814218,81.4218,185782,814218,81.4218
7,1009,997,100,1000000,183700,816300,81.63,183700,816300,81.63
7,1009,1511,100,1000000,233346,766654,76.6654,233346,766654,76.6654
7,1009,1999,100,1000000,272564,727436,72.7436,272564,727436,72.7436
7,1009,2003,100,1000000,270196,729804,72.9804,270196,729804,72.9804
7,1009,2503,100,1000000,323626,676374,67.6374,323626,676374,67.6374
7,1009,3001,100,1000000,362044,637956,63.7956,362044,637956,63.7956
7,1009,4001,100,1000000,97120,902880,90.288,97120,902880,90.288
7,1009,5003,100,1000000,115930,884070,88.407,115930,884070,88.407
7,1009,6007,100,1000000,629248,370752,37.0752,629248,370752,37.0752
7,1009,7001,100,1000000,723742,276258,27.6258,723742,276258,27.6258
7,1009,8009,100,1000000,171172,828828,82.8828,171172,828828,82.8828
7,1009,9001,100,1000000,862020,137980,13.798,862020,137980,13.798
7,1009,10007,100,1000000,848512,151488,15.1488,830554,169446,16.9446
7,1511,11,100,1000000,151312,848688,84.8688,151312,848688,84.8688
7,1511,13,100,1000000,151498,848502,84.8502,151498,848502,84.8502
7,1511,101,100,1000000,159664,840336,84.0336,159664,840336,84.0336
7,1511,199,100,1000000,166996,833004,83.3004,166996,833004,83.3004
7,1511,211,100,1000000,167104,832896,83.2896,167104,832896,83.2896
7,1511,307,100,1000000,176014,823986,82.3986,176014,823986,82.3986
7,1511,401,100,1000000,180484,819516,81.9516,180484,819516,81.9516
7,1511,503,100,1000000,192874,807126,80.7126,192874,807126,80.7126
7,1511,601,100,1000000,201094,798906,79.8906,201094,798906,79.8906
